ntasks,task_id,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
64,4,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,2520000.0,2520000.0,,4000000000.0,4000000000.0,,2570004.0,2570004.0,,5000000000.0,5000000000.0,,1300100.0,1300100.0,,4000000000.0,4000000000.0,
64,5,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,2520000.0,2520000.0,,3900000000.0,3900000000.0,,2570004.0,2570004.0,,5000000000.0,5000000000.0,,1300100.0,1300100.0,,4000000000.0,4000000000.0,
64,6,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,2520000.0,2520000.0,,3900000000.0,3900000000.0,,2570004.0,2570004.0,,5000000000.0,5000000000.0,,1300100.0,1300100.0,,4000000000.0,4000000000.0,
64,7,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,2520000.0,2520000.0,,3900000000.0,3900000000.0,,2570004.0,2570004.0,,5000000000.0,5000000000.0,,1300100.0,1300100.0,,4000000000.0,4000000000.0,
64,8,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,2520000.0,2520000.0,,4000000000.0,4000000000.0,,2570004.0,2570004.0,,5000000000.0,5000000000.0,,1300100.0,1300100.0,,4000000000.0,4000000000.0,
64,9,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,2520000.0,2520000.0,,3900000000.0,3900000000.0,,2570004.0,2570004.0,,5000000000.0,5000000000.0,,1300100.0,1300100.0,,4000000000.0,4000000000.0,
64,10,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,2520000.0,2520000.0,,3900000000.0,3900000000.0,,2570004.0,2570004.0,,5000000000.0,5000000000.0,,1300100.0,1300100.0,,4000000000.0,4000000000.0,
64,11,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,2520000.0,2520000.0,,4000000000.0,4000000000.0,,2570004.0,2570004.0,,5000000000.0,5000000000.0,,1300100.0,1300100.0,,4000000000.0,4000000000.0,
64,12,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,2520000.0,2520000.0,,3900000000.0,3900000000.0,,2570004.0,2570004.0,,5000000000.0,5000000000.0,,1300100.0,1300100.0,,4000000000.0,4000000000.0,
64,13,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,2520000.0,2520000.0,,3900000000.0,3900000000.0,,2570004.0,2570004.0,,5000000000.0,5000000000.0,,1300100.0,1300100.0,,4000000000.0,4000000000.0,
